# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2025-09-03 22:45:12 -04:00	(nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 15478040 PHELAN C NR PAXSON AK
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 15478040
#    TS_ID       Parameter Description
#    1755        00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	1755_00065	1755_00065_cd
5s	15s	20d	6s	14n	10s
USGS	15478040	2024-10-07	22:30	AKDT	148.01	P
USGS	15478040	2024-10-07	22:45	AKDT	148.05	P
USGS	15478040	2024-10-07	23:00	AKDT	148.02	P
USGS	15478040	2024-10-07	23:15	AKDT	148.02	P
USGS	15478040	2024-10-07	23:30	AKDT	147.99	P
USGS	15478040	2024-10-07	23:45	AKDT	148.02	P
USGS	15478040	2024-10-08	00:00	AKDT	147.98	P
USGS	15478040	2024-10-08	00:15	AKDT	147.97	P
USGS	15478040	2024-10-08	00:30	AKDT	147.97	P
USGS	15478040	2024-10-08	00:45	AKDT	148.01	P
USGS	15478040	2024-10-08	01:00	AKDT	147.98	P
USGS	15478040	2024-10-08	01:15	AKDT	148.00	P
USGS	15478040	2024-10-08	01:30	AKDT	148.02	P
USGS	15478040	2024-10-08	01:45	AKDT	147.96	P
USGS	15478040	2024-10-08	02:00	AKDT	147.99	P
USGS	15478040	2024-10-08	02:15	AKDT	147.97	P
USGS	15478040	2024-10-08	02:30	AKDT	147.97	P
USGS	15478040	2024-10-08	02:45	AKDT	147.98	P
USGS	15478040	2024-10-08	03:00	AKDT	147.96	P
USGS	15478040	2024-10-08	03:15	AKDT	147.92	P
USGS	15478040	2024-10-08	03:30	AKDT	147.95	P
USGS	15478040	2024-10-08	03:45	AKDT	147.96	P
USGS	15478040	2024-10-08	04:00	AKDT	147.95	P
USGS	15478040	2024-10-08	04:15	AKDT	147.94	P
USGS	15478040	2024-10-08	04:30	AKDT	147.92	P
USGS	15478040	2024-10-08	04:45	AKDT	147.97	P
USGS	15478040	2024-10-08	05:00	AKDT	147.94	P
USGS	15478040	2024-10-08	05:15	AKDT	147.93	P
USGS	15478040	2024-10-08	05:30	AKDT	147.93	P
USGS	15478040	2024-10-08	05:45	AKDT	147.89	P
USGS	15478040	2024-10-08	06:00	AKDT	147.91	P
USGS	15478040	2024-10-08	06:15	AKDT	147.93	P
USGS	15478040	2024-10-08	06:30	AKDT	147.94	P
USGS	15478040	2024-10-08	06:45	AKDT	147.92	P
USGS	15478040	2024-10-08	07:00	AKDT	147.90	P
USGS	15478040	2024-10-08	07:15	AKDT	147.91	P
USGS	15478040	2024-10-08	07:30	AKDT	147.89	P
USGS	15478040	2024-10-08	07:45	AKDT	147.89	P
USGS	15478040	2024-10-08	08:00	AKDT	147.92	P
USGS	15478040	2024-10-08	08:15	AKDT	147.88	P
USGS	15478040	2024-10-08	08:30	AKDT	147.86	P
USGS	15478040	2024-10-08	08:45	AKDT	147.88	P
USGS	15478040	2024-10-08	09:00	AKDT	147.89	P
USGS	15478040	2024-10-08	09:15	AKDT	147.88	P
USGS	15478040	2024-10-08	09:30	AKDT	147.88	P
USGS	15478040	2024-10-08	09:45	AKDT	147.87	P
USGS	15478040	2024-10-08	10:00	AKDT	147.91	P
USGS	15478040	2024-10-08	10:15	AKDT	147.87	P
USGS	15478040	2024-10-08	10:30	AKDT	147.86	P
USGS	15478040	2024-10-08	10:45	AKDT	147.85	P
USGS	15478040	2024-10-08	11:00	AKDT	147.88	P
USGS	15478040	2024-10-08	11:15	AKDT	147.89	P
USGS	15478040	2024-10-08	11:30	AKDT	147.84	P
USGS	15478040	2024-10-08	11:45	AKDT	147.88	P
USGS	15478040	2024-10-08	12:00	AKDT	147.86	P
USGS	15478040	2024-10-08	12:15	AKDT	147.88	P
USGS	15478040	2024-10-08	12:30	AKDT	147.85	P
USGS	15478040	2024-10-08	12:45	AKDT	147.86	P
USGS	15478040	2024-10-08	13:00	AKDT	147.90	P
USGS	15478040	2024-10-08	13:15	AKDT	147.91	P
USGS	15478040	2024-10-08	13:30	AKDT	147.94	P
USGS	15478040	2024-10-08	13:45	AKDT	147.91	P
USGS	15478040	2024-10-08	14:00	AKDT	147.93	P
USGS	15478040	2024-10-08	14:15	AKDT	147.91	P
USGS	15478040	2024-10-08	14:30	AKDT	147.89	P
USGS	15478040	2024-10-08	14:45	AKDT	147.90	P
USGS	15478040	2024-10-08	15:00	AKDT	147.91	P
USGS	15478040	2024-10-08	15:15	AKDT	147.93	P
USGS	15478040	2024-10-08	15:30	AKDT	147.91	P
USGS	15478040	2024-10-08	15:45	AKDT	147.94	P
USGS	15478040	2024-10-08	16:00	AKDT	147.95	P
USGS	15478040	2024-10-08	16:15	AKDT	147.95	P
USGS	15478040	2024-10-08	16:30	AKDT	147.95	P
USGS	15478040	2024-10-08	16:45	AKDT	147.92	P
USGS	15478040	2024-10-08	17:00	AKDT	147.96	P
USGS	15478040	2024-10-08	17:15	AKDT	147.97	P
USGS	15478040	2024-10-08	17:30	AKDT	147.94	P
USGS	15478040	2024-10-08	17:45	AKDT	147.97	P
USGS	15478040	2024-10-08	18:00	AKDT	147.98	P
USGS	15478040	2024-10-08	18:15	AKDT	147.96	P
USGS	15478040	2024-10-08	18:30	AKDT	147.98	P
USGS	15478040	2024-10-08	18:45	AKDT	147.97	P
USGS	15478040	2024-10-08	19:00	AKDT	147.97	P
USGS	15478040	2024-10-08	19:15	AKDT	148.01	P
USGS	15478040	2024-10-08	19:30	AKDT	147.96	P
USGS	15478040	2024-10-08	19:45	AKDT	147.96	P
USGS	15478040	2024-10-08	20:00	AKDT	147.96	P
USGS	15478040	2024-10-08	20:15	AKDT	147.95	P
USGS	15478040	2024-10-08	20:30	AKDT	147.95	P
USGS	15478040	2024-10-08	20:45	AKDT	147.97	P
USGS	15478040	2024-10-08	21:00	AKDT	147.94	P
USGS	15478040	2024-10-08	21:15	AKDT	147.96	P
USGS	15478040	2024-10-08	21:30	AKDT	147.97	P
USGS	15478040	2024-10-08	21:45	AKDT	147.97	P
USGS	15478040	2024-10-08	22:00	AKDT	147.98	P
USGS	15478040	2024-10-08	22:15	AKDT	148.00	P
USGS	15478040	2024-10-08	22:30	AKDT	148.03	P
USGS	15478040	2024-10-08	22:45	AKDT	148.03	P
USGS	15478040	2024-10-08	23:00	AKDT	148.05	P
USGS	15478040	2024-10-08	23:15	AKDT	148.08	P
USGS	15478040	2024-10-08	23:30	AKDT	148.06	P
USGS	15478040	2024-10-08	23:45	AKDT	148.07	P
USGS	15478040	2024-10-09	00:00	AKDT	148.07	P
USGS	15478040	2024-10-09	00:15	AKDT	148.02	P
USGS	15478040	2024-10-09	00:30	AKDT	148.05	P
USGS	15478040	2024-10-09	00:45	AKDT	148.08	P
USGS	15478040	2024-10-09	01:00	AKDT	148.06	P
USGS	15478040	2024-10-09	01:15	AKDT	148.08	P
USGS	15478040	2024-10-09	01:30	AKDT	148.09	P
USGS	15478040	2024-10-09	01:45	AKDT	148.08	P
USGS	15478040	2024-10-09	02:00	AKDT	148.11	P
USGS	15478040	2024-10-09	02:15	AKDT	148.15	P
USGS	15478040	2024-10-09	02:30	AKDT	148.13	P
USGS	15478040	2024-10-09	02:45	AKDT	148.19	P
USGS	15478040	2024-10-09	03:00	AKDT	148.17	P
USGS	15478040	2024-10-09	03:15	AKDT	148.15	P
USGS	15478040	2024-10-09	03:30	AKDT	148.11	P
USGS	15478040	2024-10-09	03:45	AKDT	148.11	P
USGS	15478040	2024-10-09	04:00	AKDT	148.09	P
USGS	15478040	2024-10-09	04:15	AKDT	148.08	P
USGS	15478040	2024-10-09	04:30	AKDT	148.02	P
USGS	15478040	2024-10-09	04:45	AKDT	148.02	P
USGS	15478040	2024-10-09	05:00	AKDT	148.05	P
USGS	15478040	2024-10-09	05:15	AKDT	148.03	P
USGS	15478040	2024-10-09	05:30	AKDT	148.02	P
USGS	15478040	2024-10-09	05:45	AKDT	148.00	P
USGS	15478040	2024-10-09	06:00	AKDT	147.99	P
USGS	15478040	2024-10-09	06:15	AKDT	147.98	P
USGS	15478040	2024-10-09	06:30	AKDT	147.98	P
USGS	15478040	2024-10-09	06:45	AKDT	147.99	P
USGS	15478040	2024-10-09	07:00	AKDT	147.99	P
USGS	15478040	2024-10-09	07:15	AKDT	147.99	P
USGS	15478040	2024-10-09	07:30	AKDT	147.97	P
USGS	15478040	2024-10-09	07:45	AKDT	147.93	P
USGS	15478040	2024-10-09	08:00	AKDT	147.98	P
USGS	15478040	2024-10-09	08:15	AKDT	147.94	P
USGS	15478040	2024-10-09	08:30	AKDT	147.97	P
USGS	15478040	2024-10-09	08:45	AKDT	147.91	P
USGS	15478040	2024-10-09	09:00	AKDT	147.96	P
USGS	15478040	2024-10-09	09:15	AKDT	147.95	P
USGS	15478040	2024-10-09	09:30	AKDT	147.98	P
USGS	15478040	2024-10-09	09:45	AKDT	147.95	P
USGS	15478040	2024-10-09	10:00	AKDT	147.94	P
USGS	15478040	2024-10-09	10:15	AKDT	147.96	P
USGS	15478040	2024-10-09	10:30	AKDT	147.91	P
USGS	15478040	2024-10-09	10:45	AKDT	147.93	P
USGS	15478040	2024-10-09	11:00	AKDT	147.91	P
USGS	15478040	2024-10-09	11:15	AKDT	147.92	P
USGS	15478040	2024-10-09	11:30	AKDT	147.94	P
USGS	15478040	2024-10-09	11:45	AKDT	147.96	P
USGS	15478040	2024-10-09	12:00	AKDT	147.90	P
USGS	15478040	2024-10-09	12:15	AKDT	147.95	P
USGS	15478040	2024-10-09	12:30	AKDT	147.96	P
USGS	15478040	2024-10-09	12:45	AKDT	147.90	P
USGS	15478040	2024-10-09	13:00	AKDT	147.93	P
USGS	15478040	2024-10-09	13:15	AKDT	147.94	P
USGS	15478040	2024-10-09	13:30	AKDT	147.94	P
USGS	15478040	2024-10-09	13:45	AKDT	147.93	P
USGS	15478040	2024-10-09	14:00	AKDT	147.96	P
USGS	15478040	2024-10-09	14:15	AKDT	147.97	P
USGS	15478040	2024-10-09	14:30	AKDT	147.96	P
USGS	15478040	2024-10-09	14:45	AKDT	147.94	P
USGS	15478040	2024-10-09	15:00	AKDT	147.96	P
USGS	15478040	2024-10-09	15:15	AKDT	147.98	P
USGS	15478040	2024-10-09	15:30	AKDT	148.04	P
USGS	15478040	2024-10-09	15:45	AKDT	147.98	P
USGS	15478040	2024-10-09	16:00	AKDT	148.02	P
USGS	15478040	2024-10-09	16:15	AKDT	148.01	P
USGS	15478040	2024-10-09	16:30	AKDT	148.02	P
USGS	15478040	2024-10-09	16:45	AKDT	148.03	P
USGS	15478040	2024-10-09	17:00	AKDT	148.01	P
USGS	15478040	2024-10-09	17:15	AKDT	147.95	P
USGS	15478040	2024-10-09	17:30	AKDT	147.99	P
USGS	15478040	2024-10-09	17:45	AKDT	148.01	P
USGS	15478040	2024-10-09	18:00	AKDT	148.01	P
USGS	15478040	2024-10-09	18:15	AKDT	148.00	P
USGS	15478040	2024-10-09	18:30	AKDT	148.02	P
USGS	15478040	2024-10-09	18:45	AKDT	147.99	P
USGS	15478040	2024-10-09	19:00	AKDT	147.97	P
USGS	15478040	2024-10-09	19:15	AKDT	148.01	P
USGS	15478040	2024-10-09	19:30	AKDT	148.00	P
USGS	15478040	2024-10-09	19:45	AKDT	148.01	P
USGS	15478040	2024-10-09	20:00	AKDT	148.08	P
USGS	15478040	2024-10-09	20:15	AKDT	148.11	P
USGS	15478040	2024-10-09	20:30	AKDT	148.21	P
USGS	15478040	2024-10-09	20:45	AKDT	148.23	P
USGS	15478040	2024-10-09	21:00	AKDT	148.18	P
USGS	15478040	2024-10-09	21:15	AKDT	148.18	P
USGS	15478040	2024-10-09	21:30	AKDT	148.17	P
USGS	15478040	2024-10-09	21:45	AKDT	148.15	P
USGS	15478040	2024-10-09	22:00	AKDT	148.10	P
USGS	15478040	2024-10-09	22:15	AKDT	148.15	P
USGS	15478040	2024-10-09	22:30	AKDT	148.08	P
USGS	15478040	2024-10-09	22:45	AKDT	148.07	P
USGS	15478040	2024-10-09	23:00	AKDT	148.08	P
USGS	15478040	2024-10-09	23:15	AKDT	148.07	P
USGS	15478040	2024-10-09	23:30	AKDT	148.05	P
USGS	15478040	2024-10-09	23:45	AKDT	148.05	P
USGS	15478040	2024-10-10	00:00	AKDT	148.00	P
USGS	15478040	2024-10-10	00:15	AKDT	148.04	P
USGS	15478040	2024-10-10	00:30	AKDT	148.01	P
USGS	15478040	2024-10-10	00:45	AKDT	148.02	P
USGS	15478040	2024-10-10	01:00	AKDT	148.01	P
USGS	15478040	2024-10-10	01:15	AKDT	148.00	P
USGS	15478040	2024-10-10	01:30	AKDT	148.00	P
USGS	15478040	2024-10-10	01:45	AKDT	147.99	P
USGS	15478040	2024-10-10	02:00	AKDT	147.98	P
USGS	15478040	2024-10-10	02:15	AKDT	147.97	P
USGS	15478040	2024-10-10	02:30	AKDT	147.99	P
USGS	15478040	2024-10-10	02:45	AKDT	147.98	P
USGS	15478040	2024-10-10	03:00	AKDT	147.96	P
USGS	15478040	2024-10-10	03:15	AKDT	147.96	P
USGS	15478040	2024-10-10	03:30	AKDT	147.97	P
USGS	15478040	2024-10-10	03:45	AKDT	147.96	P
USGS	15478040	2024-10-10	04:00	AKDT	147.92	P
USGS	15478040	2024-10-10	04:15	AKDT	147.93	P
USGS	15478040	2024-10-10	04:30	AKDT	147.93	P
USGS	15478040	2024-10-10	04:45	AKDT	147.94	P
USGS	15478040	2024-10-10	05:00	AKDT	147.95	P
USGS	15478040	2024-10-10	05:15	AKDT	147.92	P
USGS	15478040	2024-10-10	05:30	AKDT	147.91	P
USGS	15478040	2024-10-10	05:45	AKDT	147.92	P
USGS	15478040	2024-10-10	06:00	AKDT	147.93	P
USGS	15478040	2024-10-10	06:15	AKDT	147.93	P
USGS	15478040	2024-10-10	06:30	AKDT	147.89	P
USGS	15478040	2024-10-10	06:45	AKDT	147.92	P
USGS	15478040	2024-10-10	07:00	AKDT	147.92	P
USGS	15478040	2024-10-10	07:15	AKDT	147.91	P
USGS	15478040	2024-10-10	07:30	AKDT	147.90	P
USGS	15478040	2024-10-10	07:45	AKDT	147.90	P
USGS	15478040	2024-10-10	08:00	AKDT	147.91	P
USGS	15478040	2024-10-10	08:15	AKDT	147.90	P
USGS	15478040	2024-10-10	08:30	AKDT	147.90	P
USGS	15478040	2024-10-10	08:45	AKDT	147.90	P
USGS	15478040	2024-10-10	09:00	AKDT	147.89	P
USGS	15478040	2024-10-10	09:15	AKDT	147.89	P
USGS	15478040	2024-10-10	09:30	AKDT	147.86	P
USGS	15478040	2024-10-10	09:45	AKDT	147.88	P
USGS	15478040	2024-10-10	10:00	AKDT	147.89	P
USGS	15478040	2024-10-10	10:15	AKDT	147.88	P
USGS	15478040	2024-10-10	10:30	AKDT	147.86	P
USGS	15478040	2024-10-10	10:45	AKDT	147.90	P
USGS	15478040	2024-10-10	11:00	AKDT	147.87	P
USGS	15478040	2024-10-10	11:15	AKDT	147.87	P
USGS	15478040	2024-10-10	11:30	AKDT	147.86	P
USGS	15478040	2024-10-10	11:45	AKDT	147.86	P
USGS	15478040	2024-10-10	12:00	AKDT	147.85	P
USGS	15478040	2024-10-10	12:15	AKDT	147.86	P
USGS	15478040	2024-10-10	12:30	AKDT	147.91	P
USGS	15478040	2024-10-10	12:45	AKDT	147.89	P
USGS	15478040	2024-10-10	13:00	AKDT	147.90	P
USGS	15478040	2024-10-10	13:15	AKDT	147.90	P
USGS	15478040	2024-10-10	13:30	AKDT	147.89	P
USGS	15478040	2024-10-10	13:45	AKDT	147.89	P
USGS	15478040	2024-10-10	14:00	AKDT	147.91	P
USGS	15478040	2024-10-10	14:15	AKDT	147.91	P
USGS	15478040	2024-10-10	14:30	AKDT	147.95	P
USGS	15478040	2024-10-10	14:45	AKDT	147.93	P
USGS	15478040	2024-10-10	15:00	AKDT	147.93	P
USGS	15478040	2024-10-10	15:15	AKDT	147.93	P
USGS	15478040	2024-10-10	15:30	AKDT	147.94	P
USGS	15478040	2024-10-10	15:45	AKDT	147.97	P
USGS	15478040	2024-10-10	16:00	AKDT	148.00	P
USGS	15478040	2024-10-10	16:15	AKDT	147.99	P
USGS	15478040	2024-10-10	16:30	AKDT	148.00	P
USGS	15478040	2024-10-10	16:45	AKDT	147.98	P
USGS	15478040	2024-10-10	17:00	AKDT	147.95	P
USGS	15478040	2024-10-10	17:15	AKDT	148.00	P
USGS	15478040	2024-10-10	17:30	AKDT	147.98	P
USGS	15478040	2024-10-10	17:45	AKDT	148.02	P
USGS	15478040	2024-10-10	18:00	AKDT	147.98	P
USGS	15478040	2024-10-10	18:15	AKDT	148.03	P
USGS	15478040	2024-10-10	18:30	AKDT	147.98	P
USGS	15478040	2024-10-10	18:45	AKDT	147.99	P
USGS	15478040	2024-10-10	19:00	AKDT	148.00	P
USGS	15478040	2024-10-10	19:15	AKDT	147.95	P
USGS	15478040	2024-10-10	19:30	AKDT	147.96	P
USGS	15478040	2024-10-10	19:45	AKDT	147.96	P
USGS	15478040	2024-10-10	20:00	AKDT	147.96	P
USGS	15478040	2024-10-10	20:15	AKDT	147.99	P
USGS	15478040	2024-10-10	20:30	AKDT	147.95	P
USGS	15478040	2024-10-10	20:45	AKDT	147.87	P
USGS	15478040	2024-10-10	21:00	AKDT	147.98	P
USGS	15478040	2024-10-10	21:15	AKDT	148.03	P
USGS	15478040	2024-10-10	21:30	AKDT	148.02	P
USGS	15478040	2024-10-10	21:45	AKDT	148.02	P
USGS	15478040	2024-10-10	22:00	AKDT	147.99	P
USGS	15478040	2024-10-10	22:15	AKDT	147.98	P
USGS	15478040	2024-10-10	22:30	AKDT	147.97	P
USGS	15478040	2024-10-10	22:45	AKDT	147.99	P
USGS	15478040	2024-10-10	23:00	AKDT	147.98	P
USGS	15478040	2024-10-10	23:15	AKDT	148.02	P
USGS	15478040	2024-10-10	23:30	AKDT	147.99	P
USGS	15478040	2024-10-10	23:45	AKDT	148.05	P
USGS	15478040	2024-10-11	00:00	AKDT	148.08	P
USGS	15478040	2024-10-11	00:15	AKDT	148.02	P
USGS	15478040	2024-10-11	00:30	AKDT	147.99	P
USGS	15478040	2024-10-11	00:45	AKDT	148.01	P
USGS	15478040	2024-10-11	01:00	AKDT	147.98	P
USGS	15478040	2024-10-11	01:15	AKDT	147.97	P
USGS	15478040	2024-10-11	01:30	AKDT	148.01	P
USGS	15478040	2024-10-11	01:45	AKDT	148.00	P
USGS	15478040	2024-10-11	02:00	AKDT	147.96	P
USGS	15478040	2024-10-11	02:15	AKDT	147.99	P
USGS	15478040	2024-10-11	02:30	AKDT	147.96	P
USGS	15478040	2024-10-11	02:45	AKDT	147.98	P
USGS	15478040	2024-10-11	03:00	AKDT	147.95	P
USGS	15478040	2024-10-11	03:15	AKDT	147.95	P
USGS	15478040	2024-10-11	03:30	AKDT	147.95	P
USGS	15478040	2024-10-11	03:45	AKDT	147.94	P
USGS	15478040	2024-10-11	04:00	AKDT	147.94	P
USGS	15478040	2024-10-11	04:15	AKDT	147.95	P
USGS	15478040	2024-10-11	04:30	AKDT	147.97	P
USGS	15478040	2024-10-11	04:45	AKDT	147.98	P
USGS	15478040	2024-10-11	05:00	AKDT	147.96	P
USGS	15478040	2024-10-11	05:15	AKDT	147.95	P
USGS	15478040	2024-10-11	05:30	AKDT	147.97	P
USGS	15478040	2024-10-11	05:45	AKDT	147.94	P
USGS	15478040	2024-10-11	06:00	AKDT	147.96	P
USGS	15478040	2024-10-11	06:15	AKDT	147.96	P
USGS	15478040	2024-10-11	06:30	AKDT	147.95	P
USGS	15478040	2024-10-11	06:45	AKDT	147.97	P
USGS	15478040	2024-10-11	07:00	AKDT	147.97	P
USGS	15478040	2024-10-11	07:15	AKDT	147.94	P
USGS	15478040	2024-10-11	07:30	AKDT	147.92	P
USGS	15478040	2024-10-11	07:45	AKDT	147.92	P
USGS	15478040	2024-10-11	08:00	AKDT	147.95	P
USGS	15478040	2024-10-11	08:15	AKDT	147.93	P
USGS	15478040	2024-10-11	08:30	AKDT	147.94	P
USGS	15478040	2024-10-11	08:45	AKDT	147.93	P
USGS	15478040	2024-10-11	09:00	AKDT	147.91	P
USGS	15478040	2024-10-11	09:15	AKDT	147.93	P
USGS	15478040	2024-10-11	09:30	AKDT	147.90	P
USGS	15478040	2024-10-11	09:45	AKDT	147.92	P
USGS	15478040	2024-10-11	10:00	AKDT	147.93	P
USGS	15478040	2024-10-11	10:15	AKDT	147.94	P
USGS	15478040	2024-10-11	10:30	AKDT	147.92	P
USGS	15478040	2024-10-11	10:45	AKDT	147.88	P
USGS	15478040	2024-10-11	11:00	AKDT	147.90	P
USGS	15478040	2024-10-11	11:15	AKDT	147.88	P
USGS	15478040	2024-10-11	11:30	AKDT	147.90	P
